id;Name;Summary;Positive Reviews
0;Counter-Strike: Global Offensive;Valve Hidden Path Entertainment Valve Action FPS Shooter Multiplayer Competitive Action TeamBased esports Tactical FirstPerson PvP Online CoOp Coop Strategy Military War Difficult Trading Realistic FastPaced Moddable ;5943345
1;Dota 2;Valve Action Play Strategy Play MOBA Multiplayer Strategy esports TeamBased Competitive Action Online CoOp PvP Difficult Coop RTS Tower Defense RPG Fantasy Character Customization Action Simulation ;1534895
2;Grand Theft Auto V;Rockstar North Games Action Adventure Open World Action Multiplayer Crime Automobile Sim Third Person FirstPerson Shooter Mature Adventure Singleplayer ThirdPerson Racing Coop Atmospheric Sandbox Funny Great Soundtrack Comedy Moddable ;1229265
3;PUBG: BATTLEGROUNDS;KRAFTON Inc Action Adventure Play mmo Survival Shooter Multiplayer Battle Royale FPS PvP ThirdPerson Action Online CoOp Tactical Coop FirstPerson Strategy Competitive Third Person TeamBased Difficult Simulation Stealth ;1185361
4;Terraria;ReLogic Action Adventure Indie RPG Open World Survival Craft Sandbox Survival D Multiplayer Adventure Crafting Pixel Graphics Building Exploration Coop World Indie Online CoOp Action RPG Singleplayer Platformer Atmospheric ;1014711
5;Tom Clancy's Rainbow Six Siege;Ubisoft Montreal Action FPS Hero Shooter Multiplayer Tactical TeamBased Action FirstPerson Competitive Coop Strategy Realistic Online CoOp Destruction Physics Atmospheric Singleplayer mmo Casual Simulation ;942910
6;Garry's Mod;Facepunch Valve Indie Simulation Sandbox Multiplayer Funny Moddable Building Comedy Mod Coop FirstPerson Physics Simulation Online CoOp FPS Singleplayer Action Animation Modeling Shooter Indie Adventure mmo ;861240
7;Team Fortress 2;Valve Action Play Hero Shooter Multiplayer FPS Action ClassBased TeamBased Funny FirstPerson Online CoOp Competitive Cartoony Trading Coop Comedy Robots Tactical Cartoon Crafting ;846407
8;Rust;Facepunch Action Adventure Indie mmo RPG Survival Crafting Multiplayer Open World World Survival Craft Building PvP Sandbox Adventure FirstPerson Action FPS Nudity Coop Shooter Online CoOp Indie Postapocalyptic Simulation ;732513
9;Left 4 Dead 2;Valve Action Zombies Coop FPS Multiplayer Shooter Action Online CoOp Survival Horror FirstPerson Gore TeamBased Survival Moddable Postapocalyptic Singleplayer Adventure Local Tactical ;643836
10;The Witcher 3: Wild Hunt;CD PROJEKT RED RPG Open World RPG Story Rich Atmospheric Mature Fantasy Adventure Singleplayer Choices Matter Nudity Great Soundtrack Third Person Medieval Action Multiple Endings Action Magic Dark Dark Sandbox ;632627
11;Among Us;Innersloth Casual Multiplayer Online CoOp Social Deduction Space Survival D Funny Psychological Coop Party Game Cartoony Local Casual Action PvP Minigames Scifi Colorful TopDown Aliens ;586302
12;Euro Truck Simulator 2;SCS Software Indie Simulation Driving Transportation Simulation Open World Automobile Sim Realistic Moddable Relaxing Immersive Exploration Economy Management Atmospheric Multiplayer Controller Family Friendly Third Person Casual Adventure Indie ;572368
13;Wallpaper Engine;Wallpaper Engine Team Casual Indie Animation Modeling Design Illustration Photo Editing Utilities Mature Utilities Software Anime Illustration Modeling Memes Indie Cute NSFW Action Funny Singleplayer Editing Sandbox Game Development Horror FirstPerson Gaming ;561096
14;PAYDAY 2;OVERKILL Starbreeze Publishing AB Action RPG Coop Action FPS Heist Looter Shooter Multiplayer Online CoOp Stealth Crime TeamBased FirstPerson Great Soundtrack Gun Customization Tactical PvE Strategy Singleplayer Funny Simulation ;532013
